layer_id,layer_importance_score,layer_importance_norm,chunk_policy,recommended_coefficient_slots,calibrate_fraction,router_relative_delta_norm,min_topk_jaccard,selected_layer_coder_coefficient,schedule_id
13,0.8075863721114475,0.8928513371729874,two_layer_chunk_coefficients,2,1.0,0.8552697694255701,0.3821325341325341,0.9799999999999999,policy_095_098_100
24,0.8000753605422308,0.8826428409804641,two_layer_chunk_coefficients,2,1.0,0.7477831465589972,0.2906350060196214,0.98,policy_095_098_100
19,0.7772552293141712,0.851627148805352,two_layer_chunk_coefficients,2,1.0,0.825168190782946,0.3226645149722073,0.98,policy_095_098_100
11,0.7539249637553119,0.8199181140191077,two_layer_chunk_coefficients,2,1.0,0.8190916285127567,0.3761518175311278,0.98,policy_095_098_100
15,0.7347711847499971,0.7938854980064309,two_layer_chunk_coefficients,2,1.0,0.8246392779696452,0.3414746173366863,0.98,policy_095_098_100
9,0.7236159481055219,0.7787239994835763,two_layer_chunk_coefficients,2,0.9166666666666666,0.7871759438050421,0.4124371355140586,0.98,policy_095_098_100
16,0.723072612746112,0.777985532115142,two_layer_chunk_coefficients,2,1.0,0.8175587948553278,0.3377533577533577,0.98,policy_095_098_100
25,0.7198292347639553,0.7735773360317463,two_layer_chunk_coefficients,2,1.0,0.7017186652539982,0.3745800865800865,0.9799999999999999,policy_095_098_100
4,0.7118841605780624,0.7627788891343382,two_layer_chunk_coefficients,2,0.9166666666666666,0.7927252544903206,0.4312431158585005,0.9799999999999999,policy_095_098_100
29,0.6851972114215917,0.7265076603732956,two_layer_chunk_coefficients,2,1.0,0.5621192438365952,0.3615321186749757,0.98,policy_095_098_100
10,0.6793855940158577,0.7186088742228404,two_layer_chunk_coefficients,2,1.0,0.8216976078230216,0.397010101010101,0.98,policy_095_098_100
30,0.6607297373217993,0.6932530030096877,two_layer_chunk_coefficients,2,0.9166666666666666,0.5163726559826564,0.3391561843174746,0.98,policy_095_098_100
6,0.6445981320221756,0.671327936091215,two_layer_chunk_coefficients,2,0.8333333333333334,0.8064165615238935,0.4199118888774061,0.9799999999999999,policy_095_098_100
14,0.6426315178763327,0.6686550373964132,two_layer_chunk_coefficients,2,1.0,0.8412605132836908,0.3432511932511932,0.98,policy_095_098_100
8,0.638411563359575,0.6629195396914837,two_layer_chunk_coefficients,2,0.8333333333333334,0.7833411339923894,0.4648837752286028,0.98,policy_095_098_100
34,0.6340432283605667,0.6569823725344246,two_layer_chunk_coefficients,2,0.9166666666666666,0.3658831211081761,0.3888978405107437,0.98,policy_095_098_100
17,0.8864221605510036,1.0,per_layer_coefficients,4,1.0,0.844351985029753,0.3112784651246189,0.95,policy_095_098_100
20,0.8714012725049389,0.9795845503613618,per_layer_coefficients,4,1.0,0.8088729639662686,0.3188424478747059,0.95,policy_095_098_100
22,0.8692829840301395,0.9767055054244211,per_layer_coefficients,4,1.0,0.7937036525022558,0.2422377622377622,0.9499999999999998,policy_095_098_100
23,0.8480240376096964,0.9478116777967817,per_layer_coefficients,4,1.0,0.7700166208602605,0.2538410307641077,0.95,policy_095_098_100
12,0.8441742974427848,0.9425793522339788,per_layer_coefficients,4,1.0,0.8234877317206551,0.3447552447552447,0.95,policy_095_098_100
26,0.838598514875305,0.9350010980153673,per_layer_coefficients,4,1.0,0.6373567719309547,0.3455040685809916,0.95,policy_095_098_100
21,0.8266269788223876,0.9187301364959178,per_layer_coefficients,4,1.0,0.7860767392769642,0.3248093786555325,0.95,policy_095_098_100
18,0.8254590185203032,0.917142718052081,per_layer_coefficients,4,1.0,0.8691613579397345,0.3073684935753901,0.95,policy_095_098_100
27,0.6107933388114944,0.6253825797833337,coarse_shared_coefficients,1,1.0,0.6011662098795464,0.3419087579087579,1.0,policy_095_098_100
28,0.5843252632820073,0.5894088303387738,coarse_shared_coefficients,1,1.0,0.564750735117613,0.3263731823731823,1.0,policy_095_098_100
31,0.5587908043109484,0.5547039940085344,coarse_shared_coefficients,1,0.9166666666666666,0.4520544500742014,0.3631627631627632,1.0,policy_095_098_100
36,0.550947653165817,0.5440440745203782,coarse_shared_coefficients,1,1.0,0.348840544129326,0.3621941021941021,1.0,policy_095_098_100
33,0.521444520577187,0.5039452657350323,coarse_shared_coefficients,1,1.0,0.3730107209363898,0.4327629635321943,1.0,policy_095_098_100
32,0.4969896571429378,0.47070774799769116,coarse_shared_coefficients,1,0.75,0.405890656266141,0.3938298260878906,1.0,policy_095_098_100
7,0.4860158873628232,0.45579288786393013,coarse_shared_coefficients,1,0.8333333333333334,0.7841588715942481,0.3876659738728704,1.0,policy_095_098_100
2,0.4707656883481248,0.4350657731281705,coarse_shared_coefficients,1,0.5833333333333334,0.7799017154232584,0.4456290376290376,1.0,policy_095_098_100
3,0.4515550496865413,0.40895587703421854,coarse_shared_coefficients,1,0.5,0.7496719314130044,0.4785658785658785,1.0,policy_095_098_100
35,0.4471531491274398,0.40297308967151174,coarse_shared_coefficients,1,1.0,0.353769759426575,0.4227994227994227,1.0,policy_095_098_100
46,0.3949180898399945,0.3319784707792218,coarse_shared_coefficients,1,0.8333333333333334,0.330311892363737,0.3823976789494031,1.0,policy_095_098_100
45,0.3910539871076139,0.3267266245175684,coarse_shared_coefficients,1,0.9166666666666666,0.2946846663903542,0.4289582212659135,1.0,policy_095_098_100
47,0.383815396123901,0.31688838531163754,coarse_shared_coefficients,1,1.0,0.5913647650179943,0.4472492784992785,1.0,policy_095_098_100
0,0.3793871702695348,0.31086981825747373,coarse_shared_coefficients,1,0.25,0.8763447826293789,0.567738354835129,1.0,policy_095_098_100
37,0.3647669392496567,0.29099891653873183,coarse_shared_coefficients,1,0.5833333333333334,0.3444358481610833,0.5155591882864611,1.0,policy_095_098_100
5,0.3518617253838088,0.2734589586516815,coarse_shared_coefficients,1,0.6666666666666666,0.7841081146605421,0.4207775130852054,1.0,policy_095_098_100
1,0.3227339057128534,0.23387025166231565,coarse_shared_coefficients,1,0.5833333333333334,0.7389861967255861,0.4440811713538986,1.0,policy_095_098_100
39,0.3164342243859493,0.22530811961829356,coarse_shared_coefficients,1,0.9166666666666666,0.3109469382511134,0.4408267288267288,1.0,policy_095_098_100
40,0.2557299820219685,0.1428027178715428,coarse_shared_coefficients,1,0.6666666666666666,0.3128452004097248,0.4443591963591963,1.0,policy_095_098_100
43,0.2221500159760882,0.09716293255562371,coarse_shared_coefficients,1,0.4166666666666667,0.2795771209946926,0.3936354832906557,1.0,policy_095_098_100
44,0.2146195819697202,0.08692803860377303,coarse_shared_coefficients,1,0.5833333333333334,0.2837352479277725,0.4203038340969375,1.0,policy_095_098_100
38,0.2109864386740427,0.08199009793372777,coarse_shared_coefficients,1,0.8333333333333334,0.3289268226554013,0.4687169461363009,1.0,policy_095_098_100
41,0.1706473362526828,0.02716371806686648,coarse_shared_coefficients,1,0.4166666666666667,0.2987983120056637,0.5251717171717172,1.0,policy_095_098_100
42,0.1506613366680817,0.0,coarse_shared_coefficients,1,0.5,0.290632973085834,0.4982350982350982,1.0,policy_095_098_100
