method,dispatch_mode,calib_hard_top2_general_loss,calib_hard_top2_code_loss,calib_hard_top2_avg_loss,calib_hard_top2_worst_loss,calib_hard_top2_general_acc,calib_hard_top2_code_acc,calib_hard_top2_avg_acc,calib_hard_top2_worst_acc,calib_max_topk_overflow_fraction,calib_max_top1_overflow_fraction,calib_max_topk_capacity_ratio,calib_capacity_aware_score,select_hard_top2_general_loss,select_hard_top2_code_loss,select_hard_top2_avg_loss,select_hard_top2_worst_loss,select_hard_top2_general_acc,select_hard_top2_code_acc,select_hard_top2_avg_acc,select_hard_top2_worst_acc,select_max_topk_overflow_fraction,select_max_top1_overflow_fraction,select_max_topk_capacity_ratio,select_capacity_aware_score,test_hard_top2_general_loss,test_hard_top2_code_loss,test_hard_top2_avg_loss,test_hard_top2_worst_loss,test_hard_top2_general_acc,test_hard_top2_code_acc,test_hard_top2_avg_acc,test_hard_top2_worst_acc,test_max_topk_overflow_fraction,test_max_top1_overflow_fraction,test_max_topk_capacity_ratio,test_capacity_aware_score,router_seed,state_key,capacity_loss_coef,capacity_factor,selection_metric,selected_by_select_capacity_aware_score
unified_moe_base_router_capacity_0,hard_top2,0.555955322265625,0.6286963195800781,0.5923258209228516,0.6286963195800781,0.824,0.72,0.772,0.72,0.084,0.312,1.268370607028754,0.636,0.5500454139709473,0.6267234230041504,0.5883844184875489,0.6267234230041504,0.8175,0.735,0.77625,0.735,0.08,0.335,1.256,0.655,0.535269889831543,0.6250967025756836,0.5801832962036133,0.6250967025756836,0.8625,0.69,0.77625,0.69,0.08375,0.32,1.268,0.60625,base_router,base_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.025,hard_top2,0.5565870361328125,0.6288934020996094,0.592740219116211,0.6288934020996094,0.822,0.716,0.7689999999999999,0.716,0.081,0.308,1.2587859424920127,0.635,0.5509383010864258,0.6272206497192383,0.5890794754028321,0.6272206497192383,0.815,0.7375,0.77625,0.7375,0.08,0.335,1.256,0.6575000000000001,0.5364649200439453,0.6253469657897949,0.5809059429168701,0.6253469657897949,0.8625,0.69,0.77625,0.69,0.08375,0.315,1.268,0.60625,base_router,base_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.05,hard_top2,0.5565504455566406,0.6294148864746094,0.592982666015625,0.6294148864746094,0.824,0.718,0.7709999999999999,0.718,0.08,0.302,1.255591054313099,0.638,0.5507033157348633,0.6280720329284668,0.5893876743316651,0.6280720329284668,0.815,0.735,0.7749999999999999,0.735,0.07625,0.33,1.244,0.65875,0.5384476661682129,0.6259160804748535,0.5821818733215331,0.6259160804748535,0.8575,0.6875,0.7725,0.6875,0.0825,0.31,1.264,0.605,base_router,base_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.075,hard_top2,0.5569999084472657,0.6293992614746093,0.5931995849609375,0.6293992614746093,0.82,0.718,0.7689999999999999,0.718,0.078,0.298,1.2492012779552715,0.64,0.5520185661315918,0.6281962394714355,0.5901074028015136,0.6281962394714355,0.81,0.73,0.77,0.73,0.07375,0.325,1.236,0.65625,0.5383127784729004,0.6262166023254394,0.58226469039917,0.6262166023254394,0.8575,0.69,0.7737499999999999,0.69,0.08125,0.305,1.26,0.6087499999999999,base_router,base_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.1,hard_top2,0.5577501525878906,0.6295433654785156,0.5936467590332031,0.6295433654785156,0.818,0.718,0.768,0.718,0.076,0.29,1.2428115015974441,0.642,0.5520748710632324,0.6290625,0.5905686855316161,0.6290625,0.81,0.7275,0.76875,0.7275,0.07125,0.3225,1.228,0.65625,0.5391788101196289,0.6271098136901856,0.5831443119049072,0.6271098136901856,0.855,0.6925,0.7737499999999999,0.6925,0.08,0.2925,1.256,0.6125,base_router,base_router__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_base_router_capacity_0.25,hard_top2,0.5570413208007813,0.6306388854980469,0.593840103149414,0.6306388854980469,0.796,0.708,0.752,0.708,0.066,0.268,1.2108626198083068,0.6419999999999999,0.5553539657592773,0.6308391380310059,0.5930965518951417,0.6308391380310059,0.8,0.715,0.7575000000000001,0.715,0.06625,0.2775,1.212,0.6487499999999999,0.5402890014648437,0.628952522277832,0.5846207618713379,0.628952522277832,0.845,0.6775,0.76125,0.6775,0.07625,0.27,1.244,0.60125,base_router,base_router__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0,hard_top2,0.5493688659667969,0.6286754760742187,0.5890221710205078,0.6286754760742187,0.828,0.702,0.7649999999999999,0.702,0.074,0.318,1.2364217252396166,0.628,0.5438648033142089,0.6251849555969238,0.5845248794555664,0.6251849555969238,0.8275,0.7225,0.775,0.7225,0.075,0.3375,1.24,0.6475000000000001,0.5296487426757812,0.6256128883361817,0.5776308155059815,0.6256128883361817,0.8625,0.675,0.76875,0.675,0.08125,0.325,1.26,0.59375,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.025,hard_top2,0.5490946960449219,0.6296342163085937,0.5893644561767578,0.6296342163085937,0.826,0.698,0.762,0.698,0.072,0.312,1.2300319488817892,0.626,0.5440125274658203,0.6261310386657715,0.5850717830657959,0.6261310386657715,0.825,0.715,0.77,0.715,0.07375,0.3325,1.236,0.64125,0.5297941398620606,0.626654109954834,0.5782241249084472,0.626654109954834,0.865,0.6775,0.77125,0.6775,0.08125,0.3175,1.26,0.59625,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.05,hard_top2,0.5489242248535157,0.6293796081542968,0.5891519165039063,0.6293796081542968,0.824,0.696,0.76,0.696,0.07,0.308,1.2236421725239617,0.6259999999999999,0.543694019317627,0.6269731330871582,0.5853335762023926,0.6269731330871582,0.82,0.71,0.7649999999999999,0.71,0.07125,0.3325,1.228,0.6387499999999999,0.5310690498352051,0.6265189552307129,0.578794002532959,0.6265189552307129,0.865,0.68,0.7725,0.68,0.08125,0.31,1.26,0.59875,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.075,hard_top2,0.5488829956054687,0.6294999694824219,0.5891914825439453,0.6294999694824219,0.824,0.694,0.7589999999999999,0.694,0.069,0.308,1.220447284345048,0.625,0.5434687423706055,0.6277798652648926,0.5856243038177491,0.6277798652648926,0.8225,0.71,0.76625,0.71,0.07,0.3325,1.224,0.6399999999999999,0.5316693115234375,0.6263751029968262,0.5790222072601319,0.6263751029968262,0.8625,0.68,0.77125,0.68,0.08125,0.3075,1.26,0.59875,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.1,hard_top2,0.5481754455566407,0.6294637145996094,0.5888195800781251,0.6294637145996094,0.82,0.696,0.758,0.696,0.066,0.298,1.2108626198083068,0.6299999999999999,0.5439188575744629,0.6280736160278321,0.5859962368011475,0.6280736160278321,0.82,0.71,0.7649999999999999,0.71,0.07,0.3225,1.224,0.6399999999999999,0.5301644325256347,0.6264284133911133,0.578296422958374,0.6264284133911133,0.8625,0.6775,0.77,0.6775,0.0775,0.305,1.248,0.6,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_hybrid_calibrated_router_capacity_0.25,hard_top2,0.5475657043457032,0.6296106567382812,0.5885881805419921,0.6296106567382812,0.804,0.698,0.751,0.698,0.059,0.278,1.1884984025559104,0.639,0.5437213134765625,0.6274163436889648,0.5855688285827636,0.6274163436889648,0.81,0.7125,0.76125,0.7125,0.06,0.29,1.192,0.6525000000000001,0.5314120292663574,0.6270157051086426,0.5792138671875,0.6270157051086426,0.8525,0.68,0.7662500000000001,0.68,0.07125,0.28,1.228,0.60875,hybrid_calibrated_router,hybrid_calibrated_router__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_route_kd_seed_capacity_0,hard_top2,0.5489271240234375,0.6318802490234375,0.5904036865234374,0.6318802490234375,0.824,0.706,0.7649999999999999,0.706,0.074,0.314,1.2364217252396166,0.632,0.5438045120239258,0.6297566795349121,0.586780595779419,0.6297566795349121,0.82,0.7225,0.77125,0.7225,0.075,0.3375,1.24,0.6475000000000001,0.5306295585632325,0.6275163841247559,0.5790729713439942,0.6275163841247559,0.865,0.67,0.7675000000000001,0.67,0.0825,0.32,1.264,0.5875,route_kd_seed,route_kd_seed__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_route_kd_seed_capacity_0.025,hard_top2,0.548929443359375,0.6324839172363281,0.5907066802978516,0.6324839172363281,0.824,0.706,0.7649999999999999,0.706,0.073,0.31,1.233226837060703,0.633,0.5440792846679687,0.6302018547058106,0.5871405696868897,0.6302018547058106,0.815,0.7175,0.76625,0.7175,0.07375,0.3325,1.236,0.64375,0.5309219169616699,0.6281789588928223,0.579550437927246,0.6281789588928223,0.86,0.67,0.765,0.67,0.0825,0.3125,1.264,0.5875,route_kd_seed,route_kd_seed__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_route_kd_seed_capacity_0.05,hard_top2,0.5494986267089844,0.633127685546875,0.5913131561279297,0.633127685546875,0.824,0.702,0.7629999999999999,0.702,0.073,0.308,1.233226837060703,0.629,0.5445497894287109,0.6308274459838867,0.5876886177062988,0.6308274459838867,0.8175,0.715,0.76625,0.715,0.07375,0.3325,1.236,0.64125,0.5312282943725586,0.6285721397399903,0.5799002170562744,0.6285721397399903,0.86,0.675,0.7675000000000001,0.675,0.0825,0.3075,1.264,0.5925,route_kd_seed,route_kd_seed__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_route_kd_seed_capacity_0.075,hard_top2,0.5485759582519532,0.6330596008300782,0.5908177795410157,0.6330596008300782,0.82,0.702,0.7609999999999999,0.702,0.07,0.296,1.2236421725239617,0.6319999999999999,0.5448660850524902,0.6309981155395508,0.5879321002960205,0.6309981155395508,0.82,0.7125,0.76625,0.7125,0.07375,0.325,1.236,0.63875,0.5310798835754394,0.6285438346862793,0.5798118591308594,0.6285438346862793,0.86,0.6775,0.76875,0.6775,0.08125,0.305,1.26,0.59625,route_kd_seed,route_kd_seed__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_route_kd_seed_capacity_0.1,hard_top2,0.5490369873046875,0.6329504699707031,0.5909937286376954,0.6329504699707031,0.82,0.7,0.76,0.7,0.07,0.294,1.2236421725239617,0.6299999999999999,0.5450373649597168,0.631457405090332,0.5882473850250244,0.631457405090332,0.8225,0.71,0.76625,0.71,0.0725,0.315,1.232,0.6375,0.5307243347167969,0.6282502555847168,0.5794872951507568,0.6282502555847168,0.86,0.6775,0.76875,0.6775,0.08,0.2975,1.256,0.5975,route_kd_seed,route_kd_seed__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_route_kd_seed_capacity_0.25,hard_top2,0.5504589233398437,0.6321727294921875,0.5913158264160157,0.6321727294921875,0.8,0.7,0.75,0.7,0.066,0.268,1.2108626198083068,0.6339999999999999,0.546455135345459,0.6300603103637695,0.5882577228546142,0.6300603103637695,0.805,0.705,0.755,0.705,0.06375,0.28,1.204,0.64125,0.5304249954223633,0.6288498306274414,0.5796374130249023,0.6288498306274414,0.8475,0.6775,0.7625,0.6775,0.07,0.275,1.224,0.6074999999999999,route_kd_seed,route_kd_seed__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_router_kd_seed_capacity_0,hard_top2,0.5557751159667969,0.6287498168945312,0.592262466430664,0.6287498168945312,0.82,0.722,0.7709999999999999,0.722,0.074,0.296,1.2364217252396166,0.648,0.5486168479919433,0.6258830070495606,0.5872499275207519,0.6258830070495606,0.81,0.73,0.77,0.73,0.065,0.3225,1.208,0.665,0.5383623695373535,0.6251294136047363,0.581745891571045,0.6251294136047363,0.85,0.69,0.77,0.69,0.0775,0.3025,1.248,0.6124999999999999,router_kd_seed,router_kd_seed__capacity_0,0.0,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_router_kd_seed_capacity_0.025,hard_top2,0.5562870483398438,0.6289679870605469,0.5926275177001954,0.6289679870605469,0.818,0.722,0.77,0.722,0.074,0.294,1.2364217252396166,0.648,0.5496191215515137,0.6264420127868653,0.5880305671691894,0.6264420127868653,0.805,0.73,0.7675000000000001,0.73,0.06375,0.3175,1.204,0.66625,0.5380764007568359,0.6253864097595215,0.5817314052581788,0.6253864097595215,0.8525,0.69,0.77125,0.69,0.07625,0.2975,1.244,0.6137499999999999,router_kd_seed,router_kd_seed__capacity_0.025,0.025,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,True
unified_moe_router_kd_seed_capacity_0.05,hard_top2,0.556488037109375,0.629103759765625,0.5927958984375,0.629103759765625,0.818,0.722,0.77,0.722,0.071,0.29,1.2268370607028753,0.651,0.5497735595703125,0.6260635948181152,0.5879185771942139,0.6260635948181152,0.805,0.73,0.7675000000000001,0.73,0.06375,0.3125,1.204,0.66625,0.5382191848754883,0.6252946662902832,0.5817569255828857,0.6252946662902832,0.8525,0.6875,0.77,0.6875,0.07625,0.2925,1.244,0.61125,router_kd_seed,router_kd_seed__capacity_0.05,0.05,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_router_kd_seed_capacity_0.075,hard_top2,0.5565858764648437,0.6291398010253906,0.5928628387451171,0.6291398010253906,0.818,0.722,0.77,0.722,0.07,0.282,1.2236421725239617,0.6519999999999999,0.5505475997924805,0.6266268730163574,0.5885872364044189,0.6266268730163574,0.805,0.7275,0.7662500000000001,0.7275,0.06375,0.31,1.204,0.6637500000000001,0.5383513832092285,0.6251578521728516,0.58175461769104,0.6251578521728516,0.8525,0.6875,0.77,0.6875,0.07625,0.29,1.244,0.61125,router_kd_seed,router_kd_seed__capacity_0.075,0.075,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_router_kd_seed_capacity_0.1,hard_top2,0.557529052734375,0.6293685913085938,0.5934488220214844,0.6293685913085938,0.816,0.722,0.7689999999999999,0.722,0.067,0.28,1.2140575079872205,0.655,0.5499179458618164,0.6265531349182129,0.5882355403900146,0.6265531349182129,0.8075,0.7275,0.7675000000000001,0.7275,0.06125,0.305,1.196,0.66625,0.5385011291503906,0.6249930763244629,0.5817471027374268,0.6249930763244629,0.8525,0.6925,0.7725,0.6925,0.07625,0.285,1.244,0.61625,router_kd_seed,router_kd_seed__capacity_0.1,0.1,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
unified_moe_router_kd_seed_capacity_0.25,hard_top2,0.5578685607910157,0.6294516296386719,0.5936600952148438,0.6294516296386719,0.796,0.712,0.754,0.712,0.063,0.266,1.2012779552715656,0.649,0.5526581192016602,0.6271277046203614,0.5898929119110108,0.6271277046203614,0.795,0.7225,0.75875,0.7225,0.0575,0.2825,1.184,0.665,0.5369035911560058,0.6265131378173828,0.5817083644866943,0.6265131378173828,0.8425,0.6925,0.7675000000000001,0.6925,0.07,0.28,1.224,0.6225,router_kd_seed,router_kd_seed__capacity_0.25,0.25,1.25,select_hard_top2_worst_acc_minus_max_topk_overflow_fraction,False
